Agency County,Agency Name,Type of Tax/Debt,Amount of Bond/Tax,Purpose,Measure,% Yes,% No,Result (Pass/Fail),Threshold,Election Year,Election Type,Election Date
El Dorado,Cameron Park Community Services District,PLF Debt,Parcel Tax: Increase Tax from $950 Per Parcel Per Year to $1200 Per Parcel Per Year,Street Construction and Improvements,H,33.7,66.3,Fail,two-thirds,2006,General,11/7/2006 0:00
Stanislaus,Keyes Community Services District,PLF Debt,"Parcel Tax: Increase Tax from $10 to $19/Yr Per Parcel of Land within the District, Effective 1/1/2007",Street Construction and Improvements,B,29,71,Fail,two-thirds,2006,General,11/7/2006 0:00
Tulare,Tulare County Transportation Authority,Sales Tax Revenue Bond,Sales Tax: Enact a 1/2› Sales Tax Ordinance Which Automatically Expires In 30 Yrs,Street Construction and Improvements,R,67.2,32.8,Pass,two-thirds,2006,General,11/7/2006 0:00
Kern,California City,PLF Debt,Parcel Tax: Impose a Special Tax of $105 Per Parcel for the Next 5 Yrs Beginning 7/1/2007,Street Construction and Improvements,J,48.6,51.4,Fail,two-thirds,2006,General,11/7/2006 0:00
Lake,Butler-Keys Community Services District,PLF Debt,Parcel Tax: $45 Per Parcel,Street Construction and Improvements,Y,54.7,45.3,Fail,two-thirds,2006,General,11/7/2006 0:00
Tulare,Ivanhoe Public Utility District,PLF Debt,Parcel Tax: Levy a Parcel Tax of $2/Parcel Per Month for a Community Street Lighting Project,Street Construction and Improvements,Z,78.2,21.8,Pass,two-thirds,2006,General,11/7/2006 0:00
Marin,Paradise Ranch Estates Permanent Road District,PLF Debt,Parcel Tax: $275 in the 1st Yr & $185 Per Parcel Per Year for 9 Yrs,Street Construction and Improvements,N,74.8,25.2,Pass,two-thirds,2006,General,11/7/2006 0:00
San Diego,Rincon Ranch Community Services District,PLF Debt,Parcel Tax: Establish An Annual Special Tax for 10 Yrs on All Taxable Property within the Rincon Ranch Community Services District,Street Construction and Improvements,U,66.7,33.3,Pass,two-thirds,2006,General,11/7/2006 0:00
El Dorado,Springfield Meadow Community Services District,PLF Debt,Parcel Tax: Increase Tax to $150 Per Yr,Street Construction and Improvements,J,49,51,Fail,two-thirds,2006,General,11/7/2006 0:00
San Bernardino,Big Bear Lake,Sales Tax Revenue Bond,Sales Tax: Increase by 1/2› for 10 Yrs,Street Construction and Improvements,G,60.1,39.9,Fail,two-thirds,2006,Primary,6/6/2006 0:00
Alameda,Albany,PLF Debt,Parcel Tax: $96.00 Per Equivalent Residential Unit,Street Construction and Improvements,F,71.1,28.9,Pass,two-thirds,2006,Primary,6/6/2006 0:00
Lake,Clearlake,Sales Tax Revenue Bond,Sales Tax: 1/2› Sales Tax for Roads,Street Construction and Improvements,L,57.1,42.9,Fail,two-thirds,2006,Primary,6/6/2006 0:00
Kern,Delano,Sales Tax Revenue Bond,Sales Tax: Sales Tax Rate Increase of 1/2% to End After 20 Yrs,Street Construction and Improvements,H,53.1,46.9,Fail,two-thirds,2005,Special,11/8/2005 0:00
San Francisco,San Francisco City & County,General Obligation Bond,"$208,000,000 ",Street Construction and Improvements,Prop B,56.2,43.8,Fail,two-thirds,2005,Special,11/8/2005 0:00
Contra Costa,Lafayette,General Obligation Bond,"$29,000,000 ",Street Construction and Improvements,N,58,42,Fail,two-thirds,2004,General,11/2/2004 0:00
Yuba,Yuba County,PLF Debt,Resource Depletion Tax: 15›/Ton on Mined Material with a Cap on Administrative Costs at 3%,Street Construction and Improvements,D,66.9,33.1,Pass,two-thirds,2004,General,11/2/2004 0:00
Siskiyou,McCloud Community Services District,PLF Debt,Parcel Tax: $42.20 Per Parcel Per Year and Fixed Annual 2% Increase,Street Construction and Improvements,S,29.2,70.9,Fail,two-thirds,2004,General,11/2/2004 0:00
Kern,Rosamond Community Services District,PLF Debt,"Parcel Tax: $24 to be Increased by 7/1 Each Year, Not to Exceed 2%",Street Construction and Improvements,I,32.9,67.1,Fail,two-thirds,2004,Primary,3/2/2004 0:00
Sonoma,Petaluma,PLF Debt,"Special Tax: 5% for five years then review and rate the tax annual, the tax will be in effect for 20 years.",Street Construction and Improvements,D,33.9,66.1,Fail,two-thirds,2003,Local,11/4/2003 0:00
Sonoma,Petaluma,PLF Debt,Utility User Tax: Levy utility user tax up to 5%.,Street Construction and Improvements,C,34.7,65.3,Fail,two-thirds,2003,Local,11/4/2003 0:00
Mendocino,Willits,PLF Debt,Sales Tax: Increase sales tax by 0.5 cent.,Street Construction and Improvements,A,75.1,24.9,Pass,two-thirds,2003,Local,11/4/2003 0:00
Lake,Lake County,PLF Debt,Sales Tax: Increase sales tax by 0.5 cent.,Street Construction and Improvements,C,50.3,49.7,Fail,two-thirds,2003,Local,11/4/2003 0:00
Mendocino,Point Arena,PLF Debt,Sales Tax: Increase sales tax by 0.5 cent.,Street Construction and Improvements,C,69.1,30.9,Pass,two-thirds,2003,Local,11/4/2003 0:00
Marin,Santa Venetia Flood Control Zone 7,PLF Debt,Special Tax: $265.00 per living unit/per year for improved residential parcels; $300.00 per acre/per year for improved commercial parcels; $97.00 per acre/per year for unimproved parcels for 6 years.,Street Construction and Improvements,F,74.3,25.7,Pass,two-thirds,2003,Local,11/4/2003 0:00
El Dorado,Golden West Community Services District,PLF Debt,Special Tax: Increase tax from $120 to $300 over 5 years.,Street Construction and Improvements,W,45.4,54.6,Fail,two-thirds,2003,Local,8/5/2003 0:00
El Dorado,Shadow Lane Community Service District,PLF Debt,Parcel Tax: $200 per parcel.,Street Construction and Improvements,S,94.7,5.3,Pass,two-thirds,2003,Local,8/5/2003 0:00
El Dorado,El Dorado County CSA No 9 (Tegra Rd Zone),PLF Debt,Parcel Tax: $450 per parcel.,Street Construction and Improvements,R,57.6,42.4,Fail,two-thirds,2003,Local,7/15/2003 0:00
El Dorado,El Dorado County CSA No 9 (Texas Hill Rd),PLF Debt,Parcel Tax: $500 per parcel.,Street Construction and Improvements,T,53.3,46.7,Fail,two-thirds,2003,Local,6/17/2003 0:00
El Dorado,El Dorado County CSA No 9 (Fernwood Cothrin Ranch Road),PLF Debt,Parcel Tax: $250 per parcel.,Street Construction and Improvements,F,43.4,56.6,Fail,two-thirds,2003,Local,6/17/2003 0:00
Los Angeles,South Pasadena,PLF Debt,Utility Users Tax: 4.8% for 10 years.,Street Construction and Improvements,S,55,45,Fail,two-thirds,2003,Local,3/4/2003 0:00
El Dorado,Lakeview Community Services District,PLF Debt,Parcel Tax: Increase annual parcel tax from $60 to $120.,Street Construction and Improvements,L,67.8,32.2,Pass,two-thirds,2001,Local,11/27/2001 0:00
El Dorado,Cameron Park Airport District,PLF Debt,Parcel Tax: Increase parcel tax to $900 a year then $600 a year once resurfacing of airpark is completed.,Street Construction and Improvements,B,58.12,41.88,Fail,two-thirds,2001,Local,10/16/2001 0:00
Lake,Anderson Springs Lighting District,PLF Debt,Parcel Tax: $12 per year/per parcel.,Street Construction and Improvements,V,87.23,12.77,Pass,two-thirds,2001,Local,8/21/2001 0:00
Kern,California City,PLF Debt,Parcel Tax: $75.00 per parcel for 3 years.,Street Construction and Improvements,C,71.9,28.1,Pass,two-thirds,2001,Local,6/5/2001 0:00
Kern,Bear Valley Community Services District,PLF Debt,Parcel Tax: $95 per parcel.,Street Construction and Improvements,D,35.6,64.4,Fail,two-thirds,2001,Local,6/5/2001 0:00
El Dorado,Lakeview Community Services District,PLF Debt,Parcel Tax: Increase annual parcel tax from $60 to $120.,Street Construction and Improvements,L,66.2,33.8,Fail,two-thirds,2001,Local,6/5/2001 0:00
Riverside,Indio,General Obligation Bond,"$55,000,000 ",Street Construction and Improvements,BB,43.7,56.3,Fail,two-thirds,1998,General,11/3/1998 0:00
Los Angeles,Los Angeles,PLF Debt,"Sum of 20 Yr Tax = $769,400,000",Street Construction and Improvements,JJ,43.1,56.9,Fail,two-thirds,1998,General,11/3/1998 0:00
Calaveras,Calaveras County,Sales Tax Revenue Bond,Increase Transient Occupancy Tax from 6% to 8%,Street Construction and Improvements,A,52,48,Fail,two-thirds,1998,General,11/3/1998 0:00
Lake,Lakeport,Sales Tax Revenue Bond,.75% Sales Tax,Street Construction and Improvements,S,60,40,Fail,two-thirds,1998,General,11/3/1998 0:00
San Luis Obispo,Grover Beach,PLF Debt,Increase Utility Users Tax to 4%,Street Construction and Improvements,F98,26.1,73.9,Fail,two-thirds,1998,General,11/3/1998 0:00
Monterey,Monterey County Road Safety Authority,Sales Tax Revenue Bond,.5% Sales Tax for 9 Yrs,Street Construction and Improvements,N,52.9,47.1,Fail,two-thirds,1998,General,11/3/1998 0:00
Los Angeles,Maywood,PLF Debt,$96-$154 Res/$614-$1536 Commercial <= 1 Acre/$1536 Per Acre Commercial>= 1 Acre,Street Construction and Improvements,S,34,66,Fail,two-thirds,1998,Primary,6/2/1998 0:00
Placer,Northstar Community Services District,PLF Debt,$280 Per Parcel,Street Construction and Improvements,E,78.7,21.3,Pass,two-thirds,1998,Primary,6/2/1998 0:00
El Dorado,Golden West Community Services District,PLF Debt,Raise from $120 to $240,Street Construction and Improvements,H,59.6,40.4,Fail,two-thirds,1998,Primary,6/2/1998 0:00
San Bernardino,Loma Linda,PLF Debt,Utility Users Tax: Impose .75% Tax,Street Construction and Improvements,B,47,53,Fail,two-thirds,1996,General,11/5/1996 0:00
Lake,Butler-Keys Community Services District,PLF Debt,$30 Per Parcel for 4 Yrs,Street Construction and Improvements,U,69,31,Pass,two-thirds,1996,General,11/5/1996 0:00
Glenn,Glenn County,PLF Debt,Use MVLF for Transit Purposes,Street Construction and Improvements,B,86.6,13.4,Pass,Majority,1994,General,11/8/1994 0:00
Santa Barbara,Vandenberg Village Community Services District,PLF Debt,Street Cleaning,Street Construction and Improvements,Z,38,62,Fail,two-thirds,1990,General,11/6/1990 0:00
Orange,Anaheim,General Obligation Bond,"$30,000,000 ",Street Construction and Improvements,D,57,43,Fail,two-thirds,1988,General,11/8/1988 0:00
Butte,Chico,General Obligation Bond,"$5,000,000 ",Street Construction and Improvements,L,47,53,Fail,two-thirds,1988,General,11/8/1988 0:00
Riverside,Banning,PLF Debt,General Mining Tax: Establishing tax of 80› per ton upon excavating and processing rock material.,Special Tax Fees/Levy,J,53.1,46.9,Pass,Majority,2014,General,11/4/2014 0:00
Solano,Benicia,Sales Tax Revenue Bond,Sales Tax: Impose 1› sales tax.,Special Tax Fees/Levy,C,47.2,52.8,Fail,Majority,2014,General,11/4/2014 0:00
Alameda,Berkeley,Sales Tax Revenue Bond,"Sales Tax: Impose a 1› per ounce general tax on the distribution of high-calorie, sugary drinks.",Special Tax Fees/Levy,D,76.2,23.8,Pass,Majority,2014,General,11/4/2014 0:00
Humboldt,Blue Lake,PLF Debt,"Utility Users Tax: Impose 4% tax on all electricity & gas usage in the City, effective 3/1/2015 for 5 years.",Special Tax Fees/Levy,T,56.2,43.8,Pass,Majority,2014,General,11/4/2014 0:00
Santa Cruz,Capitola,PLF Debt,Transient Occupancy Tax: Increase rate from 10% to 11%.,Special Tax Fees/Levy,M,46.2,53.8,Fail,Majority,2014,General,11/4/2014 0:00
Riverside,Cathedral City,PLF Debt,Marijuana Tax: Tax each marijuana collectives and dispensaries at a rate of 15› for each $1 of proceeds.,Special Tax Fees/Levy,N,71.7,28.3,Pass,Majority,2014,General,11/4/2014 0:00
Contra Costa,Concord,Sales Tax Revenue Bond,Sales Tax: Renew 1/2› sales tax for 9 years.,Special Tax Fees/Levy,Q,77.2,22.8,Pass,Majority,2014,General,11/4/2014 0:00
Riverside,Desert Hot Springs,Sales Tax Revenue Bond,Sales Tax: Increase sales tax by 1%.,Special Tax Fees/Levy,JJ,44,56,Fail,Majority,2014,General,11/4/2014 0:00
Riverside,Desert Hot Springs,PLF Debt,Medical Marijuana Tax: Impose monthly 10% tax on sales proceeds of marijuana for medical or casual use.,Special Tax Fees/Levy,II,72.2,27.8,Pass,Majority,2014,General,11/4/2014 0:00
Riverside,Desert Hot Springs,PLF Debt,"Medical Marijuana Cultivation Tax: Impose annual tax of $25/sq. ft. for the first 3,000 sq. ft. and then $10/sq. ft. for remaining space utilized in connection with the cultivation of marijuana for medical or casual recreation use.",Special Tax Fees/Levy,HH,67.8,32.2,Pass,Majority,2014,General,11/4/2014 0:00
Contra Costa,El Cerrito,Sales Tax Revenue Bond,Sales Tax: Renew 1% sales tax for 12 years.,Special Tax Fees/Levy,R,70.6,29.4,Pass,Majority,2014,General,11/4/2014 0:00
Ventura,Port Hueneme,PLF Debt,"Business Tax: Eliminate taxes on home-based businesses to promote small business growth, and increase and/or impose new taxes on other businesses.",Special Tax Fees/Levy,M,44.3,55.7,Fail,Majority,2014,General,11/4/2014 0:00
Santa Clara,Gilroy,Sales Tax Revenue Bond,Sales Tax: Increase sales tax by 1/2% for 15 years.,Special Tax Fees/Levy,F,45.3,54.7,Fail,Majority,2014,General,11/4/2014 0:00
San Mateo,Half Moon Bay,Sales Tax Revenue Bond,Sales Tax: Renew 1/2% tax for 3 years.,Special Tax Fees/Levy,O,49.7,50.3,Fail,Majority,2014,General,11/4/2014 0:00
Kings,Hanford,Sales Tax Revenue Bond,Sales Tax: Increase rate by 1% for 20 years.,Special Tax Fees/Levy,S,43.6,56.4,Fail,Majority,2014,General,11/4/2014 0:00
Stanislaus,Oakdale,Sales Tax Revenue Bond,"Sales Tax: Extend existing 1/2% sales tax, set to expire 4/2015, for an additional 5 years.",Special Tax Fees/Levy,Y,70.2,29.8,Pass,Majority,2014,General,11/4/2014 0:00
Humboldt,Humboldt County,Sales Tax Revenue Bond,Sales Tax: Impose sales tax by 1/2% effective 4/1/2015 for 5 years.,Special Tax Fees/Levy,Z,56,44.1,Pass,Majority,2014,General,11/4/2014 0:00
Riverside,Indio,PLF Debt,Transient Occupancy Tax: Establish tax at 13%.,Special Tax Fees/Levy,O,79.5,20.5,Pass,Majority,2014,General,11/4/2014 0:00
Los Angeles,Norwalk,PLF Debt,Utility Users Tax: Adopt ordinance to change UUT without raising current tax rates.,Special Tax Fees/Levy,B,70.2,29.8,Pass,Majority,2014,General,11/4/2014 0:00
Humboldt,Eureka,Sales Tax Revenue Bond,Sales Tax: Continue 1/2% sales tax for 5 years beginning 7/1/16.,Special Tax Fees/Levy,Q,66.6,33.4,Pass,Majority,2014,General,11/4/2014 0:00
Yuba,Marysville,Sales Tax Revenue Bond,Sales Tax: Impose 1› sales tax to expire on 3/31/2025.,Special Tax Fees/Levy,W,48.1,51.9,Fail,Majority,2014,General,11/4/2014 0:00
Riverside,Palm Desert,PLF Debt,Transient Occupancy Tax: Increase tax from 9% to 11%.,Special Tax Fees/Levy,G,42.9,57.1,Fail,Majority,2014,General,11/4/2014 0:00
Santa Clara,Palo Alto,PLF Debt,Transient Occupancy Tax: Increase tax 2%.,Special Tax Fees/Levy,B,76.3,23.7,Pass,Majority,2014,General,11/4/2014 0:00
Santa Clara,Palo Alto,PLF Debt,Utility User Tax: Reduce rate from 5% to 4.75%.,Special Tax Fees/Levy,C,85.1,14.9,Pass,Majority,2014,General,11/4/2014 0:00
Sonoma,Petaluma,Sales Tax Revenue Bond,Sales Tax: Impose 1% tax.,Special Tax Fees/Levy,Q,43.3,56.7,Fail,Majority,2014,General,11/4/2014 0:00
San Luis Obispo,Pismo Beach,Sales Tax Revenue Bond,Sales Tax: Extend current 1/2› increase for 12 years.,Special Tax Fees/Levy,I-14,71.2,28.8,Pass,Majority,2014,General,11/4/2014 0:00
El Dorado,Placerville,Sales Tax Revenue Bond,Sales Tax: Impose 1/2› sales tax.,Special Tax Fees/Levy,I,49.8,50.2,Fail,Majority,2014,General,11/4/2014 0:00
Monterey,Marina,Sales Tax Revenue Bond,Sales Tax: Extend the temporary 1› tax until 3/31/2026.,Special Tax Fees/Levy,F,77.5,22.5,Pass,Majority,2014,General,11/4/2014 0:00
Monterey,Marina,PLF Debt,Transient Occupancy Tax: Increase rate from 10% to 12%.,Special Tax Fees/Levy,E,73.3,26.7,Pass,Majority,2014,General,11/4/2014 0:00
Butte,Paradise,Sales Tax Revenue Bond,Sales Tax: Increase tax by of 1/2% for 6 years.,Special Tax Fees/Levy,C,51.6,48.5,Pass,Majority,2014,General,11/4/2014 0:00
San Bernardino,Rialto,PLF Debt,Business License Tax: Establish annual $1/cu. ft. tax on wholesale liquid fuel storage facilities.,Special Tax Fees/Levy,U,51.2,48.8,Pass,Majority,2014,General,11/4/2014 0:00
Contra Costa,Richmond,Sales Tax Revenue Bond,Sales Tax: Impose 1/2› sales tax.,Special Tax Fees/Levy,U,55.2,44.8,Pass,Majority,2014,General,11/4/2014 0:00
Monterey,Salinas,Sales Tax Revenue Bond,Sales Tax: Impose a 1› tax.,Special Tax Fees/Levy,G,62.4,37.6,Pass,Majority,2014,General,11/4/2014 0:00
Monterey,Salinas,PLF Debt,Utility Users Tax: Reduce tax on telecommunications and video users from 6% to 5%.,Special Tax Fees/Levy,H,61.1,38.9,Pass,Majority,2014,General,11/4/2014 0:00
San Francisco,San Francisco City & County,PLF Debt,Property Transfer Tax: Impose additional tax between 14% and 24% on the total sale price of certain multi-unit residential properties sold within 5 years of purchase or transfer.,Special Tax Fees/Levy,Prop G,46.1,53.9,Fail,Majority,2014,General,11/4/2014 0:00
San Luis Obispo,San Luis Obispo,Sales Tax Revenue Bond,Sales Tax: Extend 1/2% tax for 8 years.,Special Tax Fees/Levy,G-14,70.3,29.7,Pass,Majority,2014,General,11/4/2014 0:00
Orange,Santa Ana,PLF Debt,"Utility Users Tax: Modernize the City’s UUT as it relates to telecommunications, reduce tax from 6% to 5 1/2% and eliminate exemptions.",Special Tax Fees/Levy,AA,75.7,24.3,Pass,Majority,2014,General,11/4/2014 0:00
